Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Jan 02 2019 - 7:45pm,Wolverhampton Wanderers,Crystal Palace,0,2,Roger East
Jan 02 2019 - 8:00pm,AFC Bournemouth,Watford,3,3,David Coote
Jan 02 2019 - 8:00pm,Newcastle United,Manchester United,0,2,Andre Marriner
Jan 03 2019 - 8:00pm,Manchester City,Liverpool,2,1,Anthony Taylor
Jan 12 2019 - 12:30pm,West Ham United,Arsenal,1,0,Jonathan Moss
Jan 12 2019 - 3:00pm,Brighton & Hove Albion,Liverpool,0,1,Kevin Friend
Jan 12 2019 - 3:00pm,Burnley,Fulham,2,1,Martin Atkinson
Jan 12 2019 - 3:00pm,Cardiff City,Huddersfield Town,0,0,Lee Mason
Jan 12 2019 - 3:00pm,Crystal Palace,Watford,1,2,Paul Tierney
Jan 12 2019 - 3:00pm,Leicester City,Southampton,1,2,Michael Oliver
Jan 12 2019 - 5:30pm,Chelsea,Newcastle United,2,1,Chris Kavanagh
Jan 13 2019 - 2:15pm,Everton,AFC Bournemouth,2,0,Anthony Taylor
Jan 13 2019 - 4:30pm,Tottenham Hotspur,Manchester United,0,1,Mike Dean
Jan 14 2019 - 8:00pm,Manchester City,Wolverhampton Wanderers,3,0,Craig Pawson
Jan 19 2019 - 12:30pm,Wolverhampton Wanderers,Leicester City,4,3,Chris Kavanagh
Jan 19 2019 - 3:00pm,AFC Bournemouth,West Ham United,2,0,Simon Hooper
Jan 19 2019 - 3:00pm,Liverpool,Crystal Palace,4,3,Jonathan Moss
Jan 19 2019 - 3:00pm,Manchester United,Brighton & Hove Albion,2,1,Paul Tierney
Jan 19 2019 - 3:00pm,Newcastle United,Cardiff City,3,0,Stuart Attwell
Jan 19 2019 - 3:00pm,Southampton,Everton,2,1,Graham Scott
Jan 19 2019 - 3:00pm,Watford,Burnley,0,0,Michael Oliver
Jan 19 2019 - 5:30pm,Arsenal,Chelsea,2,0,Anthony Taylor
Jan 20 2019 - 1:30pm,Huddersfield Town,Manchester City,0,3,Andre Marriner
Jan 20 2019 - 4:00pm,Fulham,Tottenham Hotspur,1,2,Craig Pawson
Jan 29 2019 - 7:45pm,Arsenal,Cardiff City,2,1,Mike Dean
Jan 29 2019 - 7:45pm,Fulham,Brighton & Hove Albion,4,2,Lee Probert
Jan 29 2019 - 7:45pm,Huddersfield Town,Everton,0,1,Stuart Attwell
Jan 29 2019 - 7:45pm,Wolverhampton Wanderers,West Ham United,3,0,David Coote
Jan 29 2019 - 8:00pm,Manchester United,Burnley,2,2,Jonathan Moss
Jan 29 2019 - 8:00pm,Newcastle United,Manchester City,2,1,Paul Tierney
Jan 30 2019 - 7:45pm,AFC Bournemouth,Chelsea,4,0,Roger East
Jan 30 2019 - 7:45pm,Southampton,Crystal Palace,1,1,Andre Marriner
Jan 30 2019 - 8:00pm,Liverpool,Leicester City,1,1,Martin Atkinson
Jan 30 2019 - 8:00pm,Tottenham Hotspur,Watford,2,1,Graham Scott
Feb 02 2019 - 12:30pm,Tottenham Hotspur,Newcastle United,1,0,Andre Marriner
Feb 02 2019 - 3:00pm,Brighton & Hove Albion,Watford,0,0,Simon Hooper
Feb 02 2019 - 3:00pm,Burnley,Southampton,1,1,Anthony Taylor
Feb 02 2019 - 3:00pm,Chelsea,Huddersfield Town,5,0,Paul Tierney
Feb 02 2019 - 3:00pm,Crystal Palace,Fulham,2,0,Michael Oliver
Feb 02 2019 - 3:00pm,Everton,Wolverhampton Wanderers,1,3,Lee Mason
Feb 02 2019 - 5:30pm,Cardiff City,AFC Bournemouth,2,0,Jonathan Moss
Feb 03 2019 - 2:05pm,Leicester City,Manchester United,0,1,Mike Dean
Feb 03 2019 - 4:30pm,Manchester City,Arsenal,3,1,Martin Atkinson
Feb 04 2019 - 8:00pm,West Ham United,Liverpool,1,1,Kevin Friend
Feb 06 2019 - 7:45pm,Everton,Manchester City,0,2,Craig Pawson
Feb 09 2019 - 12:30pm,Fulham,Manchester United,0,3,Paul Tierney
Feb 09 2019 - 3:00pm,Crystal Palace,West Ham United,1,1,Craig Pawson
Feb 09 2019 - 3:00pm,Huddersfield Town,Arsenal,1,2,Jonathan Moss
Feb 09 2019 - 3:00pm,Liverpool,AFC Bournemouth,3,0,Anthony Taylor
Feb 09 2019 - 3:00pm,Southampton,Cardiff City,1,2,Martin Atkinson
Feb 09 2019 - 3:00pm,Watford,Everton,1,0,Lee Probert
